System.Id,System.AreaPath,Node Name,SM POC,AD POC,System.State,Microsoft.VSTS.Common.Severity,Custom.Application,System.Title
4367416,AutomationProcess_29697\mySPRapidSolutioning\agentcrafters,agentcrafters,krishnaveni.ayyappan,krishnaveni.ayyappan,New,3 - Medium,Global,"AI Foundry _SSA_ US-4279700_ PT Env _ Getting error message while executing ""Get Assigned Opportunities"" prompt via agent."
4367449,AutomationProcess_29697\mySPRapidSolutioning\agentcrafters,agentcrafters,krishnaveni.ayyappan,krishnaveni.ayyappan,Active,3 - Medium,Global,AI Foundry _SSA_ US-4279700_ PT |  Incorrect Shore-wise % Distribution Updated in UI
4367470,AutomationProcess_29697\Automation Lifecycle\Intelligent Productivity Optimizer,Intelligent Productivity Optimizer,,,BA clarification,3 - Medium,Global,21 Feb | UAT 1 | View MMS Details | Technology Offerings not displayed in UI.
4367475,AutomationProcess_29697\mySPRapidSolutioning\agentcrafters,agentcrafters,krishnaveni.ayyappan,krishnaveni.ayyappan,Active,2 - High,Global,AI Foundry _SSA_ US-4279700_ PT Env | High Level Version Creation | Staffing API call is getting failed.
4367513,AutomationProcess_29697\mySPVisionToValue\Spartans,Spartans,suresh.devarajan,srinivasan.sivakumar,Active,4 - Low,Global,Existing Issue: Feb 21| Ops Stage/UAT | Value Shaping | User Click on check box (1/2) in grid then tick mark get enabled which is not expected
4367553,AutomationProcess_29697\mySPIntegratedSolutionPlatform\Tech Ensemble,Tech Ensemble,jayanth.kumar,madhuri.chintala,Active,4 - Low,SI,21st Feb | UAT1 | PCW | MMP FFP| Technology is highlighted in red color for SI SG in both the online and offline generated MMP FFP
4367554,AutomationProcess_29697\mySPVisionToValue\Spartans,Spartans,suresh.devarajan,srinivasan.sivakumar,Active,4 - Low,Global,Feb 21| Ops Stage/UAT | Value Shaping | Under IDT Summary the bottom of the screen is not displaying as expected
4367577,AutomationProcess_29697\myISP_DSP,myISP_DSP,murugan.ssubramanian,srinivasan.ks,New,3 - Medium,Global,21st Feb | UAT1 | Gen AI | RFP Synthesis | Business value section is loading continuously not getting data
4367593,AutomationProcess_29697\mySPVisionToValue\Everest,Everest,suresh.devarajan,srinivasan.sivakumar,Ready to Deploy,3 - Medium,Global,"Feb 21st || UAT ||Mobilization Calculator-Choose columns should be uniform in all screens, choose columns showing different in weekly ramp screen."
4367654,AutomationProcess_29697\mySPIntegratedSolutionPlatform\TechAvengers,TechAvengers,jayanth.kumar,madhuri.chintala,Active,4 - Low,SI,"21st Feb| UAT1| SI DCTA | ""This solution version status is Submitted to CDTS. Hence it is locked for editing"" This toaster msg is not displaying for few R2 screens"
4367680,AutomationProcess_29697\mySPVisionToValue\Everest,Everest,suresh.devarajan,srinivasan.sivakumar,Active,3 - Medium,Global,Feb 21st || UAT ||Mobilization Calculator-When clicking on choose columns in wave mapping and navigating to other pages still the choose columns dropdown showing in all screens.
4367690,AutomationProcess_29697\mySPVisionToValue\Spartans,Spartans,suresh.devarajan,srinivasan.sivakumar,Active,3 - Medium,Global,"Feb 21| Ops Stage/UAT | Value Shaping | Under IDT, cleared data is retrieved which is not expected"
4367931,AutomationProcess_29697\mySPRapidSolutioning\TechCoders,TechCoders,vishnupriya.aluru,srinivasan.ks,Active,3 - Medium,Mycloud,21st Feb | UAT1 | Solution Components AMS | Pricing input screen is getting blank
4368078,AutomationProcess_29697\mySPIntegratedSolutionPlatform\GEN AI - Solution Super Agent,GEN AI - Solution Super Agent,murugan.ssubramanian,srinivasan.ks,Ready to Deploy,3 - Medium,Global,21st Feb | UAT1 | Gen AI | SSA | PII Reporting | Contact field is not getting save if we enter more than 20 characters
4368117,AutomationProcess_29697\BackDoorGuardians,BackDoorGuardians,c.dhiman,madhuri.chintala,New,2 - High,Mycloud,Feb21 | UAT1 | PLD | status is showing as Assigned in DFD for Tech SL after assigning support sa role from Define Team
4368124,AutomationProcess_29697\mySPRapidSolutioning\CodingCrusaders,CodingCrusaders,vishnupriya.aluru,srinivasan.ks,Active,2 - High,Mycloud,21st Feb| UAT| IMS OCP | View KDA going endless  rotation.
